Feature,Mean_Absolute_SHAP,Rank
Avg_Flow_Duration,0.007330163863398728,1
Avg_Flow_IAT_Max,0.00509752534604342,2
Avg_Fwd_Packet_Length,0.0045233129036599306,3
Avg_Fwd_Packets_per_Sec,0.004416880367908788,4
Avg_Flow_IAT_Std,0.0035868125331361875,5
Avg_Flow_IAT,0.0032519646309655146,6
SYN_Flag_Count,0.0024975460641285647,7
Avg_Bwd_Packets_per_Sec,0.0022746335814496166,8
Avg_Flow_Packets_per_Sec,0.001838927090953674,9
RST_Flag_Count,0.001810423068374199,10
Avg_Packet_Length,0.0015600626025629592,11
Avg_Flow_IAT_Min,0.0014974962161176692,12
Total_Bwd_Bytes,0.0014529435414174876,13
Avg_Bwd_Packet_Length,0.001347807200844531,14
Total_Fwd_Packets,0.0011151000676929523,15
Total_Bwd_Packets,0.0009843497728108412,16
Flow_Count,0.0007219338365011096,17
Total_Fwd_Bytes,0.0004448142512814087,18
Avg_Flow_Bytes_per_Sec,0.00041750627907712664,19
