TimeWindow,Flow_Count,Total_Packets,Total_Bytes,Total_Source_Bytes,Avg_Duration,Avg_Packets_Per_Flow,Avg_Bytes_Per_Flow,Attack_Flow_Count,Attack_Ratio,Flow_Count_Change,Total_Packets_Change,Total_Bytes_Change,Total_Source_Bytes_Change,Avg_Duration_Change,Target_Next_Attack
2011-08-15 16:43:00,1405,765068,537267391,482535809,456.83296669608546,544.532384341637,382396.71957295376,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2011-08-15 16:43:30,3185,198593,104762493,23767958,386.4928159039247,62.35259026687598,32892.462480376766,0,0.0,1780.0,-566475.0,-432504898.0,-458767851.0,-70.34015079216078,0
2011-08-15 16:44:00,3148,351739,309934396,10140310,253.7566429647395,111.73411689961881,98454.38246505718,0,0.0,-37.0,153146.0,205171903.0,-13627648.0,-132.73617293918517,0
2011-08-15 16:44:30,2540,59903,30481890,9816464,240.53060881771654,23.583858267716536,12000.74409448819,0,0.0,-608.0,-291836.0,-279452506.0,-323846.0,-13.226034147022972,0
2011-08-15 16:45:00,2270,32302,15766159,1851641,241.13549754889866,14.229955947136563,6945.44449339207,0,0.0,-270.0,-27601.0,-14715731.0,-7964823.0,0.6048887311821147,0
2011-08-15 16:45:30,2733,49035,36490637,2254797,152.83465885327476,17.941822173435785,13351.861324551775,0,0.0,463.0,16733.0,20724478.0,403156.0,-88.3008386956239,0
2011-08-15 16:46:00,2624,65773,50545086,2703093,158.8308393121189,25.06592987804878,19262.60899390244,0,0.0,-109.0,16738.0,14054449.0,448296.0,5.996180458844151,0
2011-08-15 16:46:30,2180,34504,25288659,1836872,146.65186878944954,15.827522935779816,11600.30229357798,0,0.0,-444.0,-31269.0,-25256427.0,-866221.0,-12.178970522669374,0
2011-08-15 16:47:00,1982,45755,35341045,1842063,185.91687057416752,23.085267406659938,17831.001513622603,0,0.0,-198.0,11251.0,10052386.0,5191.0,39.26500178471798,0
2011-08-15 16:47:30,2331,30342,19687076,1940018,136.74145317202917,13.016731016731017,8445.76404976405,0,0.0,349.0,-15413.0,-15653969.0,97955.0,-49.17541740213835,0
2011-08-15 16:48:00,2241,31929,18609770,1890416,148.43708056492636,14.247657295850066,8304.225792057117,0,0.0,-90.0,1587.0,-1077306.0,-49602.0,11.695627392897194,0
2011-08-15 16:48:30,2075,20033,10116932,1369173,114.1141913686747,9.6544578313253,4875.629879518072,0,0.0,-166.0,-11896.0,-8492838.0,-521243.0,-34.322889196251666,0
2011-08-15 16:49:00,1860,18936,5280150,1428929,134.27353601989248,10.180645161290322,2838.7903225806454,0,0.0,-215.0,-1097.0,-4836782.0,59756.0,20.15934465121778,0
