Scenario,Timestamp,Prediction_Probability,Warning_Severity,Predicted_Warning,Actual_Warning,Prediction_Result,Actual_Status,Attack_Progression,States_To_Next_Attack,Minutes_To_Next_Attack,Top_1_Feature,Top_1_SHAP,Top_1_Direction,Top_2_Feature,Top_2_SHAP,Top_2_Direction,Top_3_Feature,Top_3_SHAP,Top_3_Direction,MITRE_Tactic,MITRE_Technique_ID,MITRE_Technique,MITRE_Confidence,Progression_Explanation,SHAP_Explanation,Explainable_Warning
12,2011-08-19 10:33:13.757874,0.124285504,LOW,1,0,False Positive,Normal / No Ground-Truth Warning,Normal Baseline,18.0,9.000196433333334,Avg_Bytes_Per_Flow,0.0246998444199562,toward_warning,Total_Bytes_Change,-0.0231404684425797,away_from_warning,Avg_Packets_Per_Flow,0.0212275237776339,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,Network activity is in a normal baseline state.,"Top model contributors: Avg_Bytes_Per_Flow (toward_warning, SHAP=0.0247); Total_Bytes_Change (away_from_warning, SHAP=-0.0231); Avg_Packets_Per_Flow (toward_warning, SHAP=0.0212).","ThreatCast generated a LOW model warning with probability 0.124. Prediction result: False Positive. Ground-truth status: Normal / No Ground-Truth Warning. Observed progression: Normal Baseline. The next observed attack is 18 network state(s) away. Top model contributors: Avg_Bytes_Per_Flow (toward_warning, SHAP=0.0247); Total_Bytes_Change (away_from_warning, SHAP=-0.0231); Avg_Packets_Per_Flow (toward_warning, SHAP=0.0212)."
12,2011-08-19 10:33:43.755079,0.1415698,LOW,1,0,False Positive,Normal / No Ground-Truth Warning,Normal Baseline,17.0,8.500243016666667,Avg_Duration,0.0451724943704903,toward_warning,Avg_Packets_Per_Flow,0.039054085034877,toward_warning,Total_Packets_Change,-0.0243824356002733,away_from_warning,Command and Control,T1071,Application Layer Protocol,Medium,Network activity is in a normal baseline state.,"Top model contributors: Avg_Duration (toward_warning, SHAP=0.0452); Avg_Packets_Per_Flow (toward_warning, SHAP=0.0391); Total_Packets_Change (away_from_warning, SHAP=-0.0244).","ThreatCast generated a LOW model warning with probability 0.142. Prediction result: False Positive. Ground-truth status: Normal / No Ground-Truth Warning. Observed progression: Normal Baseline. The next observed attack is 17 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0452); Avg_Packets_Per_Flow (toward_warning, SHAP=0.0391); Total_Packets_Change (away_from_warning, SHAP=-0.0244)."
12,2011-08-19 10:35:43.752517,0.227873,MEDIUM,1,0,False Positive,Normal / No Ground-Truth Warning,Normal Baseline,13.0,6.500285716666666,Avg_Duration_Change,0.0114793687243945,toward_warning,Avg_Duration,0.0037845840444788,toward_warning,Total_Bytes_Change,-0.0031346376606961,away_from_warning,Command and Control,T1071,Application Layer Protocol,Medium,Network activity is in a normal baseline state.,"Top model contributors: Avg_Duration_Change (toward_warning, SHAP=0.0115); Avg_Duration (toward_warning, SHAP=0.0038); Total_Bytes_Change (away_from_warning, SHAP=-0.0031).","ThreatCast generated a MEDIUM model warning with probability 0.228. Prediction result: False Positive. Ground-truth status: Normal / No Ground-Truth Warning. Observed progression: Normal Baseline. The next observed attack is 13 network state(s) away. Top model contributors: Avg_Duration_Change (toward_warning, SHAP=0.0115); Avg_Duration (toward_warning, SHAP=0.0038); Total_Bytes_Change (away_from_warning, SHAP=-0.0031)."
12,2011-08-19 10:36:13.765325,0.37971056,MEDIUM,1,0,False Positive,Normal / No Ground-Truth Warning,Normal Baseline,12.0,6.0000722500000006,Avg_Duration,0.0263819266110658,toward_warning,Avg_Duration_Change,0.0187221985310316,toward_warning,Flow_Count,0.0072261968773091,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,Network activity is in a normal baseline state.,"Top model contributors: Avg_Duration (toward_warning, SHAP=0.0264); Avg_Duration_Change (toward_warning, SHAP=0.0187); Flow_Count (toward_warning, SHAP=0.0072).","ThreatCast generated a MEDIUM model warning with probability 0.380. Prediction result: False Positive. Ground-truth status: Normal / No Ground-Truth Warning. Observed progression: Normal Baseline. The next observed attack is 12 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0264); Avg_Duration_Change (toward_warning, SHAP=0.0187); Flow_Count (toward_warning, SHAP=0.0072)."
12,2011-08-19 10:36:43.811535,0.39370793,MEDIUM,1,0,False Positive,Normal / No Ground-Truth Warning,Normal Baseline,11.0,5.499302083333333,Avg_Duration,0.0664529439993202,toward_warning,Avg_Duration_Change,0.0349520102143287,toward_warning,Flow_Count,0.0071154128527268,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,Network activity is in a normal baseline state.,"Top model contributors: Avg_Duration (toward_warning, SHAP=0.0665); Avg_Duration_Change (toward_warning, SHAP=0.0350); Flow_Count (toward_warning, SHAP=0.0071).","ThreatCast generated a MEDIUM model warning with probability 0.394. Prediction result: False Positive. Ground-truth status: Normal / No Ground-Truth Warning. Observed progression: Normal Baseline. The next observed attack is 11 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0665); Avg_Duration_Change (toward_warning, SHAP=0.0350); Flow_Count (toward_warning, SHAP=0.0071)."
12,2011-08-19 10:37:13.765243,0.18925999,LOW,1,1,True Positive,Actual Early Warning,Early Warning,10.0,5.000073616666667,Avg_Duration_Change,0.0282930791378021,toward_warning,Avg_Duration,0.0036080099642276,toward_warning,Total_Source_Bytes,0.0004656076111132,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,"The current state is normal, but an attack is observed within the early-warning horizon.","Top model contributors: Avg_Duration_Change (toward_warning, SHAP=0.0283); Avg_Duration (toward_warning, SHAP=0.0036); Total_Source_Bytes (toward_warning, SHAP=0.0005).","ThreatCast generated a LOW model warning with probability 0.189. Prediction result: True Positive. Ground-truth status: Actual Early Warning. Observed progression: Early Warning. The next observed attack is 10 network state(s) away. Top model contributors: Avg_Duration_Change (toward_warning, SHAP=0.0283); Avg_Duration (toward_warning, SHAP=0.0036); Total_Source_Bytes (toward_warning, SHAP=0.0005)."
12,2011-08-19 10:38:13.757653,0.11011773,LOW,1,1,True Positive,Actual Early Warning,Early Warning,8.0,4.000200116666667,Avg_Duration,0.0095558461500331,toward_warning,Avg_Duration_Change,0.0092022114899009,toward_warning,Flow_Count,0.0021287116280291,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,"The current state is normal, but an attack is observed within the early-warning horizon.","Top model contributors: Avg_Duration (toward_warning, SHAP=0.0096); Avg_Duration_Change (toward_warning, SHAP=0.0092); Flow_Count (toward_warning, SHAP=0.0021).","ThreatCast generated a LOW model warning with probability 0.110. Prediction result: True Positive. Ground-truth status: Actual Early Warning. Observed progression: Early Warning. The next observed attack is 8 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0096); Avg_Duration_Change (toward_warning, SHAP=0.0092); Flow_Count (toward_warning, SHAP=0.0021)."
12,2011-08-19 10:38:43.813478,0.6002721,HIGH,1,1,True Positive,Actual Early Warning,Early Warning,7.0,3.4992697,Avg_Duration,0.0929609630256891,toward_warning,Avg_Duration_Change,0.0187148212455213,toward_warning,Flow_Count,0.0078503222903236,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,"The current state is normal, but an attack is observed within the early-warning horizon.","Top model contributors: Avg_Duration (toward_warning, SHAP=0.0930); Avg_Duration_Change (toward_warning, SHAP=0.0187); Flow_Count (toward_warning, SHAP=0.0079).","ThreatCast generated a HIGH model warning with probability 0.600. Prediction result: True Positive. Ground-truth status: Actual Early Warning. Observed progression: Early Warning. The next observed attack is 7 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0930); Avg_Duration_Change (toward_warning, SHAP=0.0187); Flow_Count (toward_warning, SHAP=0.0079)."
12,2011-08-19 10:39:13.786022,0.32767487,MEDIUM,1,1,True Positive,Actual Early Warning,Near-Term Early Warning,6.0,2.9997273000000004,Avg_Duration,0.0434671172872185,toward_warning,Avg_Duration_Change,0.0153392437205184,toward_warning,Flow_Count,0.0067042368667898,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,The network is approaching an attack state within the next few network states.,"Top model contributors: Avg_Duration (toward_warning, SHAP=0.0435); Avg_Duration_Change (toward_warning, SHAP=0.0153); Flow_Count (toward_warning, SHAP=0.0067).","ThreatCast generated a MEDIUM model warning with probability 0.328. Prediction result: True Positive. Ground-truth status: Actual Early Warning. Observed progression: Near-Term Early Warning. The next observed attack is 6 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0435); Avg_Duration_Change (toward_warning, SHAP=0.0153); Flow_Count (toward_warning, SHAP=0.0067)."
13,2011-08-15 17:13:40.449530,0.31293863,MEDIUM,1,1,True Positive,Actual Early Warning,Near-Term Early Warning,6.0,3.0000357166666665,Avg_Duration,0.0289098773151636,toward_warning,Flow_Count,0.0189946553204208,toward_warning,Avg_Packets_Per_Flow,0.0045332628651522,toward_warning,Command and Control,T1071,Application Layer Protocol,Medium,The network is approaching an attack state within the next few network states.,"Top model contributors: Avg_Duration (toward_warning, SHAP=0.0289); Flow_Count (toward_warning, SHAP=0.0190); Avg_Packets_Per_Flow (toward_warning, SHAP=0.0045).","ThreatCast generated a MEDIUM model warning with probability 0.313. Prediction result: True Positive. Ground-truth status: Actual Early Warning. Observed progression: Near-Term Early Warning. The next observed attack is 6 network state(s) away. Top model contributors: Avg_Duration (toward_warning, SHAP=0.0289); Flow_Count (toward_warning, SHAP=0.0190); Avg_Packets_Per_Flow (toward_warning, SHAP=0.0045)."
