Window_ID,Timestamp,Packet_Count,Avg_Packet_Size,Packet_Size_Variance,TTL_Mean,TTL_Variance,TCP_Window_Mean,TCP_Window_Variance,TCP_SYN_Count,TCP_ACK_Count,TCP_RST_Count,TCP_FIN_Count,TCP_PSH_Count,Fragmented_Packet_Count,Unique_Source_IPs,Unique_Destination_IPs,Unique_Destination_Ports,Max_Unique_Ports_Per_Source,Port_Scan_Signature,Scan_Entropy,Window_Duration
0,2019-07-15 20:45:37.823010921,240,337.4166666666667,641132.2680555556,66.0635838150289,553.3774599886398,831.929292929293,398028.9343944497,0,99,0,2,50,0,7,7,19,10,1,4.247927513416173,29.970550060272217
1,2019-07-15 20:46:07.823010921,174,338.12068965517244,572218.3475029726,71.92241379310344,462.12329072532697,717.3962264150944,362570.6920612318,0,53,0,0,26,0,6,6,17,10,1,4.087462841225814,29.339704036712646
2,2019-07-15 20:46:37.823010921,128,280.8046875,371079.36029052734,58.296875,284.521240234375,780.1621621621622,363768.8926223521,0,37,0,0,17,0,5,5,7,2,0,2.807354922047505,29.66064691543579
3,2019-07-15 20:47:07.823010921,175,282.5542857142857,515365.80133877567,61.25454545454546,779.062479338843,1847.2708333333333,31673288.030815974,2,47,0,2,20,0,8,10,16,6,0,3.9999999999769167,29.561243057250977
4,2019-07-15 20:47:37.823010921,124,269.991935483871,373297.782193028,59.91379310344828,196.25118906064208,785.8387096774194,372406.4578563996,0,31,0,0,13,0,5,5,6,2,0,2.5849625007125,29.72543716430664
5,2019-07-15 20:48:07.823010921,138,252.1159420289855,293329.1894559967,48.0,715.4594594594595,818.1176470588235,377893.9861591695,0,34,0,0,14,0,5,5,6,2,0,2.5849625007125,29.60679602622986
6,2019-07-15 20:48:37.823010921,128,261.5078125,362731.01556396484,54.353846153846156,465.5517159763313,729.5,373294.60294117645,0,34,0,2,13,0,5,5,7,2,0,2.807354922047505,29.452445030212402
7,2019-07-15 20:49:07.823010921,111,288.68468468468467,412610.5221978733,62.4375,80.49609375,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.588512897491455
8,2019-07-15 20:49:37.823010921,114,286.5701754385965,402045.6310403202,57.83018867924528,336.5938056247776,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.616111993789673
9,2019-07-15 20:50:07.823010921,122,270.1803278688525,378406.60682612204,47.54838709677419,753.79604578564,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.607676029205322
