Rank,Feature,Mean_Absolute_SHAP,Mean_SHAP
1,Avg_Duration,0.014363929724695482,-0.004600097608763462
2,Flow_Count,0.004540161988366436,-0.004069707821931388
3,Avg_Duration_Change,0.0038551937146194177,-0.0008635960272067678
4,Avg_Packets_Per_Flow,0.0019179005204181293,0.0014134655113485905
5,Avg_Bytes_Per_Flow,0.0011193974070662876,0.00039042328454087284
6,Total_Bytes_Change,0.0010889767947001303,8.097666202340293e-05
7,Total_Packets_Change,0.0010581275909448777,-5.034710365998762e-05
8,Total_Packets,0.0007790639845852923,0.00010326619224375122
9,Total_Source_Bytes,0.0005441499557254446,0.0001846278231352727
10,Total_Bytes,0.00047444416712875184,-5.720794261191031e-05
11,Flow_Count_Change,0.000364073106256626,-0.00013036861826520862
12,Total_Source_Bytes_Change,0.00028909619583708946,-9.538667483923291e-06
