Feature,Mean_Absolute_SHAP,Relative_Importance
Avg_Duration,0.02154875095297848,0.4031299216465606
Avg_Duration_Change,0.007781227903053908,0.14556972706757168
Flow_Count,0.005846186064304296,0.10936933352549842
Avg_Packets_Per_Flow,0.003939123571136842,0.0736923722425324
Total_Source_Bytes,0.0023300826192987263,0.043590741096670105
Avg_Bytes_Per_Flow,0.002200118133076444,0.04115939028371812
Total_Packets,0.002146969600744872,0.040165097680809975
Total_Bytes_Change,0.0018900273880805495,0.03535827178704534
Total_Packets_Change,0.0018755084502832158,0.0350866542687306
Total_Bytes,0.0016121014814180132,0.030158886949339412
Total_Source_Bytes_Change,0.0011930697734120557,0.02231972170099274
Flow_Count_Change,0.001090447391046799,0.0203998817505305
