# Schema: fraction_string,decimal_value,normalized_fraction
# Controlled dimensional fraction to decimal mapping table
fraction_string,decimal_value,normalized_fraction
1/16,0.0625,1/16
1/8,0.125,1/8
3/16,0.1875,3/16
1/4,0.25,1/4
5/16,0.3125,5/16
3/8,0.375,3/8
7/16,0.4375,7/16
1/2,0.5,1/2
9/16,0.5625,9/16
5/8,0.625,5/8
11/16,0.6875,11/16
3/4,0.75,3/4
13/16,0.8125,13/16
7/8,0.875,7/8
15/16,0.9375,15/16
33-7/16,33.4375,33-7/16
23-7/8,23.875,23-7/8
22-5/8,22.625,22-5/8
50-1/4,50.25,50-1/4
50-3/16,50.1875,50-3/16
