scenario,horizon,samples,positive,negative,roc_auc,pr_auc
1,T+1,718,565,153,0.7899705014749262,0.9194153700130794
1,T+2,718,566,152,0.7921471080528175,0.9206851249234531
1,T+3,718,566,152,0.7983424772177794,0.9226768531142839
5,T+1,44,30,14,0.861904761904762,0.933862411598817
5,T+2,44,31,13,0.8535980148883374,0.9393787725606577
5,T+3,44,32,12,0.8333333333333334,0.9390314626696006
12,T+1,136,88,48,0.6628787878787878,0.7320512594588569
12,T+2,136,89,47,0.6760698063590724,0.7485336111991268
12,T+3,136,90,46,0.6811594202898552,0.768302285082208
13,T+1,122,117,5,0.9914529914529915,0.9996444029078061
13,T+2,122,118,4,0.9724576271186441,0.9990707619770655
13,T+3,122,118,4,1.0,1.0
