Graph_Index,Timestamp,Stage
0,2019-07-15 13:45:37,BENIGN
1,2019-07-15 13:46:07,BENIGN
2,2019-07-15 13:46:37,UNLABELED
3,2019-07-15 13:47:07,BENIGN
4,2019-07-15 13:47:37,BENIGN
5,2019-07-15 13:48:07,UNLABELED
6,2019-07-15 13:48:37,BENIGN
7,2019-07-15 13:49:07,UNLABELED
8,2019-07-15 13:49:37,BENIGN
9,2019-07-15 13:50:07,UNLABELED
10,2019-07-15 13:50:37,UNLABELED
11,2019-07-15 13:51:07,BENIGN
12,2019-07-15 13:51:37,BENIGN
13,2019-07-15 13:52:07,BENIGN
14,2019-07-15 13:52:37,BENIGN
15,2019-07-15 13:53:07,UNLABELED
16,2019-07-15 13:53:37,BENIGN
17,2019-07-15 13:54:07,BENIGN
18,2019-07-15 13:54:37,BENIGN
19,2019-07-15 13:55:07,BENIGN
20,2019-07-15 13:55:37,BENIGN
21,2019-07-15 13:56:07,BENIGN
22,2019-07-15 13:56:37,BENIGN
23,2019-07-15 13:57:07,BENIGN
24,2019-07-15 13:57:37,BENIGN
25,2019-07-15 13:58:07,UNLABELED
26,2019-07-15 13:58:37,BENIGN
27,2019-07-15 13:59:07,BENIGN
28,2019-07-15 13:59:37,BENIGN
29,2019-07-15 14:00:07,BENIGN
30,2019-07-15 14:00:37,BENIGN
31,2019-07-15 14:01:07,BENIGN
32,2019-07-15 14:01:37,BENIGN
33,2019-07-15 14:02:07,BENIGN
34,2019-07-15 14:02:37,BENIGN
35,2019-07-15 14:03:07,BENIGN
36,2019-07-15 14:03:37,BENIGN
37,2019-07-15 14:04:07,BENIGN
38,2019-07-15 14:04:37,BENIGN
39,2019-07-15 14:05:07,BENIGN
40,2019-07-15 14:05:37,BENIGN
41,2019-07-15 14:06:07,BENIGN
42,2019-07-15 14:06:37,BENIGN
43,2019-07-15 14:07:07,BENIGN
44,2019-07-15 14:07:37,BENIGN
45,2019-07-15 14:08:07,BENIGN
46,2019-07-15 14:08:37,BENIGN
47,2019-07-15 14:09:07,BENIGN
48,2019-07-15 14:09:37,BENIGN
49,2019-07-15 14:10:07,BENIGN
50,2019-07-15 14:10:37,BENIGN
51,2019-07-15 14:11:07,BENIGN
52,2019-07-15 14:11:37,BENIGN
53,2019-07-15 14:12:07,BENIGN
54,2019-07-15 14:12:37,BENIGN
55,2019-07-15 14:13:07,BENIGN
56,2019-07-15 14:13:37,BENIGN
57,2019-07-15 14:14:07,BENIGN
58,2019-07-15 14:14:37,BENIGN
59,2019-07-15 14:15:07,BENIGN
60,2019-07-15 14:15:37,BENIGN
61,2019-07-15 14:16:07,BENIGN
62,2019-07-15 14:16:37,BENIGN
63,2019-07-15 14:17:07,BENIGN
64,2019-07-15 14:17:37,BENIGN
65,2019-07-15 14:18:07,BENIGN
66,2019-07-15 14:18:37,BENIGN
67,2019-07-15 14:19:07,BENIGN
68,2019-07-15 14:19:37,BENIGN
69,2019-07-15 14:20:07,BENIGN
70,2019-07-15 14:20:37,BENIGN
71,2019-07-15 14:21:07,BENIGN
72,2019-07-15 14:21:37,BENIGN
73,2019-07-15 14:22:07,BENIGN
74,2019-07-15 14:22:37,BENIGN
75,2019-07-15 14:23:07,BENIGN
76,2019-07-15 14:23:37,BENIGN
77,2019-07-15 14:24:07,BENIGN
78,2019-07-15 14:24:37,BENIGN
79,2019-07-15 14:25:07,BENIGN
80,2019-07-15 14:25:37,BENIGN
81,2019-07-15 14:26:07,BENIGN
82,2019-07-15 14:26:37,BENIGN
83,2019-07-15 14:27:07,BENIGN
84,2019-07-15 14:27:37,BENIGN
85,2019-07-15 14:28:07,BENIGN
86,2019-07-15 14:28:37,BENIGN
87,2019-07-15 14:29:07,BENIGN
88,2019-07-15 14:29:37,BENIGN
89,2019-07-15 14:30:07,BENIGN
90,2019-07-15 14:30:37,BENIGN
91,2019-07-15 14:31:07,BENIGN
92,2019-07-15 14:31:37,BENIGN
93,2019-07-15 14:32:07,BENIGN
94,2019-07-15 14:32:37,BENIGN
95,2019-07-15 14:33:07,BENIGN
96,2019-07-15 14:33:37,BENIGN
97,2019-07-15 14:34:07,BENIGN
98,2019-07-15 14:34:37,BENIGN
99,2019-07-15 14:35:07,BENIGN
100,2019-07-15 14:35:37,BENIGN
101,2019-07-15 14:36:07,BENIGN
102,2019-07-15 14:36:37,BENIGN
103,2019-07-15 14:37:07,BENIGN
104,2019-07-15 14:37:37,BENIGN
105,2019-07-15 14:38:07,BENIGN
106,2019-07-15 14:38:37,BENIGN
107,2019-07-15 14:39:07,BENIGN
108,2019-07-15 14:39:37,BENIGN
109,2019-07-15 14:40:07,BENIGN
110,2019-07-15 14:40:37,BENIGN
111,2019-07-15 14:41:07,BENIGN
112,2019-07-15 14:41:37,BENIGN
113,2019-07-15 14:42:07,BENIGN
114,2019-07-15 14:42:37,BENIGN
115,2019-07-15 14:43:07,BENIGN
116,2019-07-15 14:43:37,BENIGN
117,2019-07-15 14:44:07,BENIGN
118,2019-07-15 14:44:37,BENIGN
119,2019-07-15 14:45:07,BENIGN
120,2019-07-15 14:45:37,BENIGN
